Rank,Exam Name,Exam Code,Practice Tests,PYQ's Count,Quizzes,Subjects,Topics,Total
1,RRB Group D,RRB-GROUP-D,118,129,1464,4,25,247
2,Delhi Police Constable- SSC,SSC-DPC,55,56,965,16,129,111
3,SSC MTS,SSC-MTS,16,27,795,24,182,43
4,SSC GD Constable,SSC-GD,13,25,754,23,163,38
5,SSC Stenographer Grade C & D,SSC-STENO,19,19,684,20,159,38
6,SSC CPO (SI Delhi Police & CAPF),SSC-CPO,17,17,669,19,138,34
7,SSC CHSL Tier-I,SSC-CHSL-T1,12,17,619,23,180,29
8,Haryana Police Constable,HR-POL-CONST,13,12,573,25,179,25
9,Rajasthan Police Constable,RJ-POL-CONST,17,20,545,9,89,37
10,SSC Selection Post (Matriculation Level),SSC-SSP-MAT,45,45,436,4,16,90
11,ESIC UDC Prelims,ESIC-UDC-P,2,1,462,23,180,3
12,SBI Clerk Prelims,SBI-CLK-P,14,14,419,10,78,28
13,NEET,NEET,12,16,293,5,26,28
14,SSC CGL,SSC-CGL,25,25,243,4,13,50
15,SSC Selection Post,SSC-SSP,22,22,210,4,16,44
16,UPSC Prelims,UPSC-PRE,11,22,196,2,2,33
17,Central Teacher Eligibility Test,CTET,6,13,172,11,22,19
18,RRB NTPC,RRB-NTPC,16,16,158,3,14,32
19,SSC Selection Post (Higher Secondary Level),SSC-SSP-HS,14,14,134,4,16,28
20,IBPS PO (Probationary Officer) - Prelims,IBPS-PO-PRE,14,14,130,3,30,28
21,CIL (Coal India Limited),CIL,8,10,128,8,8,18
22,IBPS Clerk - Prelims,IBPS-CLERK-PRE,8,8,73,3,30,16
23,UP Police Constable,UP-POLICE-CON,2,3,43,7,17,5
24,RSSB Computer Instructor,RSSB-CI,2,4,38,5,5,6
Total,,,481,549,10203,,,1030
